2019-04-10 01:33:50.780 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@4bc2b8a9 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@3119efaf wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@55aeaad8, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@70868017, controller:document, format:xml, action:save]>
2019-04-10 01:36:43.994 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@c6f8926a nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@1edc029a wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@4854885, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@6f1f3b3d, controller:document, format:xml, action:save]>
2019-04-10 01:37:47.918 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@2aa36728 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@52f4245f wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@32dbdb10, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@4689336c, controller:document, format:xml, action:save]>
2019-04-10 01:38:43.756 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@2074a948 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@780b0488 wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@39360eb3, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@3d098d4d, controller:document, format:xml, action:save]>
2019-04-10 01:41:31.348 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@b358d990 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@499ad447 wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@8a7de7c, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@c984bb0, controller:document, format:xml, action:save]>
2019-04-10 01:43:34.609 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@262df0c0 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@3d497ffa wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@7c7475c1, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@784bfe97, controller:document, format:xml, action:save]>
2019-04-10 01:44:43.089 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@494bfbcf nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@2bd18cd2 wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@6aec86e9, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@6ed31f6c, controller:document, format:xml, action:save]>
2019-04-10 01:49:46.719 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@1f53e661 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@38ea2a0e wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@6957af4b, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@4e73815c, controller:document, format:xml, action:save]>
2019-04-10 01:50:26.163 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@cda5021d nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@71618139 wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@2095ce5d, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@133ee0e6, controller:document, format:xml, action:save]>
2019-04-10 01:50:45.129 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@7c5539a3 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@6890271d wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@29ad2d26, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@2d92bccb, controller:document, format:xml, action:save]>
2019-04-10 01:51:17.709 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@3032f2ff nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@f9b90c0 wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@141276ed, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@53b0e510, controller:document, format:xml, action:save]>
